UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,OPEN,HIGH,LOW,CLOSE,FIRST_MESSAGE_TIMESTAMP,LAST_MESSAGE_TIMESTAMP,FIRST_MESSAGE_VALUE,HIGH_MESSAGE_VALUE,HIGH_MESSAGE_TIMESTAMP,LOW_MESSAGE_VALUE,LOW_MESSAGE_TIMESTAMP,LAST_MESSAGE_VALUE,TOTAL_INDEX_UPDATES,VOLUME,QUOTE_VOLUME,VOLUME_TOP_TIER,QUOTE_VOLUME_TOP_TIER,VOLUME_DIRECT,QUOTE_VOLUME_DIRECT,VOLUME_TOP_TIER_DIRECT,QUOTE_VOLUME_TOP_TIER_DIRECT,valid_close,valid_hilo,Measure2
DAY,1593129600,267,cadli,BTC-USD,9261.12661219675,9348.58844545249,9046.43448514927,9158.20219830445,1593129600,1593215940,9242.49349508111,9348.58844545249,1593132900,9046.43448514927,1593181680,9158.20219830445,1440,354405.636771357,3252656844.67967,163586.48223649,1501198045.94379,48914.2007679861,448071148.498469,41224.1258548861,377572748.556478,True,True,0.01973123595895035
DAY,1593216000,267,cadli,BTC-USD,9158.20219830445,9279.93276017552,8863.64299360632,9014.37949959402,1593216000,1593302340,9162.67168390981,9279.93276017552,1593240240,8863.64299360632,1593287460,9014.37949959402,1440,305610.425178267,2775324988.84463,128754.247018257,1167389972.81121,40854.459825969,369064465.328203,33307.329937329,300688584.935597,True,True,0.027563626027807993
DAY,1593302400,267,cadli,BTC-USD,9014.37949959402,9310.53060299361,8952.03986886976,9122.15583492354,1593302400,1593388740,9009.86165333612,9310.53060299361,1593361080,8952.03986886976,1593308760,9122.15583492354,1440,212240.860697819,1928741152.12292,82101.4118037988,746696372.981335,28057.9262265559,254452284.066715,20914.1022981259,189823215.027988,True,True,0.02358083020301622
DAY,1593388800,267,cadli,BTC-USD,9122.15583492354,9297.48840215718,9025.06507486145,9187.70772585798,1593388800,1593475140,9119.26345149881,9297.48840215718,1593465240,9025.06507486145,1593438480,9187.70772585798,1440,257456.188457689,2351725471.38312,119754.818494281,1094030335.69194,36463.4263842461,332377554.215827,31013.0879926361,282644592.411417,True,True,0.01785984024269878
DAY,1593475200,267,cadli,BTC-USD,9187.70772585798,9257.55686481264,9072.58042668163,9151.48059555084,1593475200,1593561540,9187.843651976,9257.55686481264,1593529740,9072.58042668163,1593522840,9151.48059555084,1440,255114.852195302,2337176977.15018,104411.976366425,956563541.179668,25771.529885989,235758502.983068,21439.795185749,196120769.871259,True,True,0.012121397882466304
DAY,1593561600,267,cadli,BTC-USD,9151.48059555084,9335.03889500619,9102.43884363741,9238.68796305122,1593561600,1593647940,9140.73137602969,9335.03889500619,1593625080,9102.43884363741,1593563940,9238.68796305122,1440,222254.787111985,2047081689.55763,113291.713965054,1043479792.64911,33871.4629714073,311832701.181273,29288.7664016473,269654374.524981,True,True,0.015153697315257944
DAY,1593648000,267,cadli,BTC-USD,9238.68796305122,9365.83529759201,8960.73450928635,9090.71684868815,1593648000,1593734340,9233.89333133195,9365.83529759201,1593697740,8960.73450928635,1593708060,9090.71684868815,1440,348587.619212725,3189989200.68879,160477.383021646,1468721221.48125,47580.3819491216,433568859.622988,40661.4346392316,370466683.317066,True,True,0.026554609611048344
DAY,1593734400,267,cadli,BTC-USD,9090.71684868815,9193.53654569872,9054.70033467411,9077.5693435839,1593734400,1593820740,9094.43633431373,9193.53654569872,1593788820,9054.70033467411,1593819660,9077.5693435839,1440,221657.291882678,2019388596.71109,102069.14344672,929716005.466939,24842.234309122,225916950.164292,21204.662371262,192825625.554487,True,True,0.009138554207762875
DAY,1593820800,267,cadli,BTC-USD,9077.5693435839,9231.03515117417,9054.61350888127,9199.48374811664,1593820800,1593907140,9059.86007492986,9231.03515117417,1593887100,9054.61350888127,1593820980,9199.48374811664,1440,155430.197441935,1420126292.44577,69578.9010388744,635686440.632179,22122.3698583119,201631966.308404,18751.8173241419,170923198.998873,True,True,0.011588900527233839
DAY,1593907200,267,cadli,BTC-USD,9199.48374811664,9205.63689823967,8942.09125574523,9084.22499513658,1593907200,1593993540,9175.08743197458,9205.63689823967,1593910020,8942.09125574523,1593983760,9084.22499513658,1440,203667.724893233,1849657545.4512,86840.387631379,788198538.257638,24825.1489781525,224599884.48995,20681.6027774425,187083294.095703,True,True,0.017444212856318482
